Model,Year,Status,Mileage,Price,MSRP
2001 Acura NSX T,2001,Used,28.7340 mi.,$169.50_),Not specified
2018 Acura RDX Technology Package,2018,Used,105.2820 mi.,$19_),$1.996 price drop
2019 Acura RDX Technology Package,2019,Used,45.110 mi.,$32.99_),$652 price drop
2023 Acura RDX A-Spec,2023,New,Not available,$49.65_),MSRP $50.395
2021 Acura TLX Base,2021,Used,9.1130 mi.,$37_),Not specified
2019 Acura TLX V6 Technology & A-Spec,2019,Used,44.2250 mi.,$32_),$600 price drop
2021 Acura RDX Technology Package,2021,Used,37.3930 mi.,$35.80_),$1.200 price drop
2016 Acura TLX V6 Advance,2016,Used,80.2350 mi.,$23.99_),Not specified
2022 Acura TLX A-Spec,2022,Used,9.8680 mi.,$37.50_),Not specified
2020 Acura TLX Technology,2020,Used,20.220 mi.,$29.50_),$500 price drop
2014 Acura MDX 3.5L Technology Package,2014,Used,68.1360 mi.,$23.34_),Not specified
2023 Acura TLX Advance,2023,New,Not available,$52.45_),Not specified
2006 Acura MDX Touring,2006,Used,113.0 mi.,$6.50_),Not specified
2020 Acura TLX V6,2020,Used,40.4730 mi.,$28_),$701 price drop
2012 Acura TSX 2.4,2012,Used,160.0 mi.,$11_),Not specified
2019 Acura MDX 3.5L Technology & A-Spec Pkgs,2019,Used,69.7080 mi.,$31_),Not specified
2022 Acura RDX A-Spec,2022,New,Not available,$47.95_),Not specified
2021 Acura TLX A-Spec,2021,Used,13.2690 mi.,$39.90_),Not specified
2017 Acura TLX V6 w/Technology Package,2017,Acura Certified,37.1570 mi.,$24.94_),Not specified
2020 Acura MDX 3.5L,2020,Acura Certified,44.040 mi.,$32.99_),Not specified
2017 Acura TLX FWD,2017,Used,126.9030 mi.,$17_),Not specified
2019 Acura RDX Base,2019,Used,41.8870 mi.,$28_),Not specified
2019 Acura TLX V6,2019,Used,23.1780 mi.,$34.99_),Not specified
2020 Acura ILX Base,2020,Used,37.4560 mi.,$22.50_),$1.000 price drop
2005 Acura RL 3.5,2005,Used,230.4210 mi.,$3.99_),Not specified
2021 Acura ILX Premium Package,2021,Acura Certified,25.6880 mi.,$26.66_),Not specified
2023 Acura MDX Technology,2023,New,Not available,$55.95_),MSRP $55.945
2018 Acura TLX V6,2018,Used,54.7690 mi.,$25.99_),Not specified
2021 Acura TLX Technology,2021,Acura Certified,21.760 mi.,$37.56_),$1.098 price drop
2019 Acura ILX Technology & A-Spec,2019,Used,15.4840 mi.,$24.51_),Not specified
2019 Acura TLX V6 w/Technology Package,2019,Used,70.3390 mi.,$26_),$1.000 price drop
2012 Acura TL 3.5 Advance,2012,Used,27.7390 mi.,$20.59_),$400 price drop
2017 Acura MDX 3.5L w/Advance & Entertainment Pkgs,2017,Used,54.3280 mi.,$33_),Not specified
2018 Acura TLX FWD,2018,Used,75.6290 mi.,$23.55_),Not specified
2020 Acura MDX 3.5L w/Technology Package,2020,Used,60.8340 mi.,$29.87_),$1.305 price drop
2011 Acura TL 3.5,2011,Used,91.6840 mi.,$12.99_),Not specified
2012 Acura TSX 2.4,2012,Used,108.4690 mi.,$11.99_),$400 price drop
2017 Acura MDX Sport Hybrid 3.0L w/Advance Package,2017,Used,52.5390 mi.,$33.99_),Not specified
2019 Acura MDX 3.5L w/Technology & Entertainment Pkgs,2019,Used,37.5420 mi.,$33.99_),Not specified
2012 Acura TSX 2.4,2012,Used,84.4660 mi.,$12.99_),Not specified
2021 Acura RDX A-Spec,2021,Used,40.9890 mi.,$36.65_),$486 price drop
2016 Acura RDX Advance Package,2016,Used,93.1770 mi.,$23.89_),Not specified
2023 Acura MDX A-Spec,2023,New,Not available,$61.65_),Not specified
2021 Acura TLX A-Spec,2021,Used,12.4030 mi.,$37.33_),$500 price drop
2023 Acura MDX Advance,2023,New,Not available,$66.06_),Not specified
2019 Acura TLX V6 Advance,2019,Used,10.0630 mi.,$35.25_),$700 price drop
2022 Acura MDX A-Spec,2022,Used,10.7250 mi.,Not Priced,Not specified
2020 Acura TLX V6 w/Technology Package,2020,Acura Certified,24.3590 mi.,$31.58_),Not specified
2018 Acura RDX Base,2018,Used,74.4750 mi.,$21_),Not specified
2020 Acura MDX 3.5L w/Technology Package,2020,Acura Certified,31.2810 mi.,$37.75_),$348 price drop
2012 Acura TL Technology,2012,Used,64.6860 mi.,$20_),Not specified
2015 Acura TLX Tech,2015,Used,88.8750 mi.,$17.50_),$200 price drop
2021 Acura TLX Technology,2021,Used,14.2180 mi.,$35.99_),$237 price drop
1991 Acura NSX ,1991,Used,67.330 mi.,$84_),Not specified
2008 Acura TL 3.2,2008,Used,97.3150 mi.,$9.89_),Not specified
2021 Acura TLX Technology,2021,Used,5.9780 mi.,$38.99_),Not specified
2016 Acura TLX V6 Tech,2016,Used,40.6780 mi.,$22.99_),Not specified
2015 Acura TLX Tech,2015,Used,76.3640 mi.,$17_),Not specified
2018 Acura RDX Technology Package,2018,Used,60.1070 mi.,$24.70_),$500 price drop
2022 Acura TLX A-Spec,2022,Used,10.070 mi.,$41_),Not specified
2018 Acura TLX V6,2018,Used,137.0550 mi.,$18.50_),$1.300 price drop
2021 Acura TLX Advance,2021,Used,20.3260 mi.,$39.78_),$865 price drop
2021 Acura TLX Technology,2021,Used,5.2580 mi.,$32.99_),Not specified
2023 Acura MDX A-Spec,2023,New,Not available,$61.65_),MSRP $59.950
2021 Acura RDX A-Spec,2021,Acura Certified,29.540 mi.,$38.84_),Not specified
2023 Acura TLX Type S w/Performance Tire,2023,New,Not available,$57.74_),MSRP $57.745
2019 Acura ILX Premium & A-SPEC Packages,2019,Used,6.5710 mi.,$27.75_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$58.15_),Not specified
2020 Acura RDX Technology Package,2020,Used,21.6380 mi.,$35.99_),Not specified
2011 Acura MDX 3.7L Advance,2011,Used,125.6160 mi.,$12.49_),Not specified
2020 Acura TLX A-Spec,2020,Acura Certified,11.6030 mi.,$39.99_),Not specified
2023 Acura Integra A-Spec Technology,2023,New,Not available,$38.09_),MSRP $38.095
2021 Acura TLX A-Spec,2021,Used,25.3570 mi.,$39.99_),Not specified
2019 Acura RDX A-Spec,2019,Used,73.5340 mi.,$31.59_),Not specified
2018 Acura MDX 3.5L w/Advance Package,2018,Acura Certified,47.1130 mi.,$34.49_),Not specified
2023 Acura MDX SH-AWD,2023,New,Not available,$52.95_),MSRP $52.945
2023 Acura RDX Advance Package,2023,New,Not available,$53.34_),MSRP $53.345
2023 Acura MDX A-Spec,2023,New,Not available,$61.74_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$48.95_),Not specified
2020 Acura MDX 3.5L Technology & A-Spec Pkgs,2020,Used,38.3180 mi.,$40.30_),Not specified
2014 Acura RDX Base,2014,Used,65.4710 mi.,$17.12_),Not specified
2019 Acura TLX A-Spec,2019,Used,48.1630 mi.,$31.97_),$226 price drop
2017 Acura TLX V6 w/Technology Package,2017,Used,93.8330 mi.,$17.98_),$300 price drop
2020 Acura MDX 3.5L w/Technology Package,2020,Acura Certified,21.8140 mi.,$43.79_),Not specified
2019 Acura MDX 3.5L w/Advance Package,2019,Used,49.810 mi.,$32.90_),$1.100 price drop
2017 Acura MDX 3.5L w/Technology Package,2017,Acura Certified,83.720 mi.,$30_),Not specified
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),MSRP $37.395
2020 Acura RDX A-Spec,2020,Acura Certified,34.1160 mi.,$39.35_),Not specified
2018 Acura TLX Technology,2018,Used,66.3230 mi.,$23.81_),$181 price drop
2023 Acura Integra A-Spec,2023,New,Not available,$35.09_),Not specified
2023 Acura MDX Technology,2023,New,Not available,$56.64_),Not specified
2022 Acura MDX Technology Package,2022,Used,17.6310 mi.,$47.99_),$1.000 price drop
2018 Acura MDX Sport Hybrid 3.0L w/Technology Package,2018,Used,87.250 mi.,$25.54_),$1.455 price drop
2023 Acura TLX A-Spec,2023,New,Not available,$50.20_),Not specified
2021 Acura TLX Advance,2021,Used,26.2920 mi.,$39.50_),$495 price drop
2018 Acura TLX V6 w/Technology Package,2018,Used,58.5710 mi.,$26_),$500 price drop
2023 Acura RDX A-Spec Advance,2023,New,Not available,$55.34_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$51.20_),Not specified
2020 Acura MDX 3.5L w/Technology Package,2020,Acura Certified,28.5250 mi.,$38.37_),$2.634 price drop
2021 Acura RDX w/Technology Package,2021,Acura Certified,27.6630 mi.,$39.97_),Not specified
2022 Acura MDX A-Spec,2022,Used,17.6250 mi.,$52.23_),$272 price drop
2023 Acura MDX Technology,2023,New,Not available,$58.15_),MSRP $56.450
2021 Acura TLX A-Spec,2021,Acura Certified,18.4380 mi.,$40.97_),Not specified
2017 Acura TLX w/Technology Pkg,2017,Used,42.2690 mi.,$22_),Not specified
2022 Acura TLX Type S,2022,Used,13.0570 mi.,$49.90_),Not specified
2020 Acura MDX 3.5L w/Technology Package,2020,Used,15.4530 mi.,$52.20_),Not specified
2018 Acura RDX Technology Package,2018,Used,74.1010 mi.,$22_),$1.000 price drop
2020 Acura MDX 3.5L w/Advance Package,2020,Acura Certified,20.2150 mi.,$41.50_),$477 price drop
2021 Acura TLX Advance,2021,Acura Certified,12.2950 mi.,$40_),Not specified
2020 Acura TLX A-Spec,2020,Used,12.9630 mi.,$29.99_),Not specified
2020 Acura RDX A-Spec,2020,Acura Certified,24.6340 mi.,$39.79_),$200 price drop
2009 Acura MDX Sport,2009,Used,197.1320 mi.,$7_),Not specified
2019 Acura RDX Technology Package,2019,Used,41.410 mi.,$33_),$1.000 price drop
2022 Acura TLX Tech,2022,Acura Certified,6.1150 mi.,$37.96_),$545 price drop
2021 Acura TLX Advance,2021,Acura Certified,6.6110 mi.,$41.99_),$2.000 price drop
2022 Acura TLX Technology,2022,New,Not available,$46.20_),Not specified
2015 Acura MDX 3.5L Technology Package,2015,Used,122.5320 mi.,$17.75_),Not specified
2014 Acura MDX 3.5L,2014,Used,60.4710 mi.,$23.89_),Not specified
2023 Acura RDX Advance Package,2023,New,Not available,$53.34_),MSRP $53.345
2020 Acura RDX Advance Package,2020,Used,58.8840 mi.,$31.55_),Not specified
2003 Acura MDX Touring,2003,Used,135.1930 mi.,$6.98_),Not specified
2005 Acura TSX ,2005,Used,130.4190 mi.,$9.99_),Not specified
2006 Acura TL ,2006,Used,140.6760 mi.,$7.99_),Not specified
2011 Acura MDX 3.7L Technology,2011,Used,116.6920 mi.,$17_),Not specified
2019 Acura RDX Advance Package,2019,Acura Certified,22.0 mi.,$38.49_),$2.500 price drop
2019 Acura TLX V6 Advance,2019,Used,88.6860 mi.,$25.89_),Not specified
2020 Acura MDX 3.5L,2020,Used,49.3170 mi.,$28.68_),$310 price drop
2023 Acura MDX Technology,2023,Acura Certified,4.9050 mi.,$50.45_),Not specified
2021 Acura TLX Technology,2021,Acura Certified,16.2080 mi.,$34.99_),$783 price drop
2012 Acura TSX 2.4,2012,Used,92.6630 mi.,$17_),Not specified
2020 Acura MDX 3.5L w/Technology Package,2020,Used,25.0 mi.,$39.99_),Not specified
2019 Acura RDX Technology Package,2019,Used,89.3530 mi.,$27.66_),$489 price drop
2023 Acura RDX A-Spec,2023,New,Not available,$51.20_),MSRP $51.195
2022 Acura MDX Technology,2022,Acura Certified,30.5070 mi.,$50.73_),$1.009 price drop
2018 Acura TLX Base,2018,Used,60.9180 mi.,$27.30_),$300 price drop
2018 Acura TLX V6 w/Technology Package,2018,Acura Certified,33.2780 mi.,$28_),Not specified
2021 Acura TLX Advance,2021,Used,19.5680 mi.,$38.99_),$380 price drop
2022 Acura MDX Advance,2022,Acura Certified,13.1170 mi.,$55.90_),$1.096 price drop
2002 Acura RSX Base,2002,Used,114.4140 mi.,$16_),Not specified
2020 Acura TLX A-Spec,2020,Used,30.7950 mi.,$34.44_),$290 price drop
2018 Acura TLX V6 Advance,2018,Used,12.2090 mi.,$28.94_),Not specified
2019 Acura TLX A-Spec,2019,Used,35.8010 mi.,$27.98_),Not specified
2022 Acura TLX A-Spec,2022,Acura Certified,23.8890 mi.,$36.49_),$6.000 price drop
2020 Acura TLX A-Spec,2020,Acura Certified,42.3750 mi.,$28.32_),Not specified
2020 Acura TLX A-Spec,2020,Acura Certified,27.2650 mi.,$34.26_),$234 price drop
2018 Acura TLX V6 A-Spec,2018,Acura Certified,39.6280 mi.,$29.70_),Not specified
2020 Acura TLX A-Spec,2020,Acura Certified,43.8730 mi.,$28.33_),$3.668 price drop
2014 Acura MDX 3.5L Technology Package,2014,Used,84.0630 mi.,$22.89_),Not specified
2015 Acura TLX V6 Advance,2015,Used,59.1410 mi.,$20.49_),Not specified
2023 Acura Integra A-Spec Technology,2023,New,Not available,$38.09_),MSRP $38.095
2014 Acura RLX Sport Hybrid Technology Package,2014,Used,102.8110 mi.,$19.98_),$910 price drop
2017 Acura MDX 3.5L w/Technology Package,2017,Used,87.3070 mi.,$25.96_),Not specified
2023 Acura RDX Advance Package,2023,New,Not available,$53.34_),MSRP $53.345
2012 Acura ZDX Base,2012,Used,105.7230 mi.,$17.99_),$509 price drop
2019 Acura TLX TECH,2019,Used,34.4110 mi.,$31.90_),Not specified
2021 Acura TLX Advance,2021,Used,13.4980 mi.,$41.79_),Not specified
2020 Acura MDX 3.5L Technology & A-Spec Pkgs,2020,Used,10.0480 mi.,$45.78_),Not specified
2017 Acura ILX Base,2017,Used,60.7540 mi.,$18.93_),$1.044 price drop
2021 Acura TLX Technology,2021,Used,8.8330 mi.,$36.30_),$1.688 price drop
2020 Acura MDX 3.5L w/Technology Package,2020,Used,32.390 mi.,$36.71_),$1.696 price drop
2023 Acura MDX A-Spec,2023,New,Not available,$61.65_),Not specified
2020 Acura TLX A-Spec,2020,Used,13.050 mi.,$29_),$777 price drop
2013 Acura TL 3.5,2013,Used,65.3260 mi.,$17.68_),Not specified
2017 Acura TLX w/Technology Package,2017,Used,45.2920 mi.,$24.80_),Not specified
2022 Acura MDX Type S w/Advance,2022,Used,11.1450 mi.,$66_),Not specified
2019 Acura MDX 3.5L w/Technology Package,2019,Used,123.4090 mi.,$27.44_),$103 price drop
2008 Acura TSX ,2008,Used,166.7960 mi.,$7_),Not specified
2021 Acura TLX Technology,2021,Used,12.120 mi.,$33.49_),$500 price drop
2014 Acura ILX 2.0L Technology,2014,Used,160.5280 mi.,$10.99_),Not specified
2020 Acura TLX V6 w/Technology Package,2020,Acura Certified,9.9510 mi.,$34.59_),$411 price drop
2019 Acura TLX FWD,2019,Used,49.4090 mi.,$24.91_),Not specified
2020 Acura TLX FWD,2020,Used,35.6030 mi.,$30.55_),Not specified
2014 Acura TSX Special Edition,2014,Used,73.510 mi.,$15.99_),$500 price drop
2018 Acura ILX Premium Package,2018,Used,39.7960 mi.,$19_),$2.918 price drop
2020 Acura TLX V6 w/Technology Package,2020,Used,16.5770 mi.,$30.99_),Not specified
2019 Acura ILX Premium & A-SPEC Packages,2019,Used,33.1140 mi.,$23.50_),Not specified
2014 Acura MDX 3.5L w/Technology & Entertainment Pkgs,2014,Used,126.4260 mi.,$14.99_),Not specified
2007 Acura TL 3.2 w/Navigation,2007,Used,123.9540 mi.,$8.70_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$58.15_),MSRP $58.145
2022 Acura TLX Base,2022,Acura Certified,502.0 mi.,$35.99_),$995 price drop
2017 Acura MDX 3.5L w/Technology Package,2017,Used,98.8520 mi.,$23.12_),$376 price drop
2015 Acura ILX 2.0L w/Premium Package,2015,Used,95.7820 mi.,$14.55_),$978 price drop
2020 Acura TLX A-Spec,2020,Acura Certified,19.9510 mi.,$36.44_),Not specified
2019 Acura RDX Base,2019,Used,41.6730 mi.,$27.10_),Not specified
2012 Acura TL Technology,2012,Used,153.9790 mi.,$10.80_),Not specified
2015 Acura TLX V6 Tech,2015,Used,57.3880 mi.,$20.97_),$1.000 price drop
2015 Acura TLX V6 Advance,2015,Used,99.2470 mi.,$17.99_),$482 price drop
2019 Acura MDX 3.5L w/Advance Package,2019,Used,47.7750 mi.,$34.80_),$200 price drop
2002 Acura RSX Base,2002,Used,112.9640 mi.,$15_),$995 price drop
2009 Acura MDX Sport,2009,Used,104.0750 mi.,$13_),Not specified
2006 Acura TL ,2006,Used,146.420 mi.,$9.47_),$520 price drop
2016 Acura MDX 3.5L,2016,Used,78.5670 mi.,$22.64_),Not specified
2021 Acura TLX A-Spec,2021,Acura Certified,21.3370 mi.,$39.49_),Not specified
2018 Acura MDX 3.5L,2018,Used,39.7110 mi.,$28.90_),$395 price drop
2009 Acura TL Technology,2009,Used,199.1780 mi.,$9.49_),Not specified
2023 Acura Integra A-Spec,2023,New,Not available,$35.09_),MSRP $35.095
2016 Acura TLX V6 Advance,2016,Used,71.5840 mi.,$22_),$557 price drop
2023 Acura MDX Advance,2023,New,Not available,$65.19_),Not specified
2023 Acura MDX Base,2023,Acura Certified,3.6160 mi.,$51_),Not specified
2020 Acura TLX FWD,2020,Used,27.9220 mi.,$25.98_),Not specified
2012 Acura TL Technology,2012,Used,110.7660 mi.,$14.99_),Not specified
2015 Acura MDX 3.5L,2015,Used,117.0710 mi.,$17.80_),$200 price drop
2013 Acura TL Technology,2013,Used,100.560 mi.,$13_),Not specified
2020 Acura TLX Technology,2020,Used,42.0470 mi.,$26.35_),$100 price drop
2019 Acura TLX V6 w/Technology Package,2019,Acura Certified,23.5760 mi.,$32_),Not specified
2022 Acura MDX Type S,2022,Used,4.1090 mi.,$60.20_),Not specified
2020 Acura MDX 3.5L w/Advance Package,2020,Used,16.0650 mi.,$40.73_),$1.153 price drop
2023 Acura MDX Technology,2023,New,Not available,$58.15_),MSRP $58.145
2021 Acura TLX Type S,2021,Used,18.5110 mi.,$49.91_),Not specified
2022 Acura MDX A-Spec,2022,Used,14.7320 mi.,$55.70_),$600 price drop
2013 Acura ILX 2.0L,2013,Used,116.7570 mi.,$12.90_),Not specified
2019 Acura MDX 3.5L w/Technology Package,2019,Used,37.0380 mi.,$34.99_),Not specified
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),Not specified
2018 Acura TLX Technology,2018,Used,47.0490 mi.,$19.99_),$500 price drop
2023 Acura MDX Technology,2023,New,Not available,$55.95_),Not specified
2012 Acura TL Technology,2012,Used,83.0960 mi.,$15.75_),Not specified
2019 Acura TLX FWD,2019,Used,57.9260 mi.,$23.99_),$800 price drop
2023 Acura MDX Technology,2023,New,Not available,$58.24_),Not specified
2018 Acura TLX V6 A-Spec,2018,Acura Certified,40.4360 mi.,$30.52_),Not specified
2020 Acura RDX Base,2020,Used,41.1350 mi.,$31.40_),Not specified
2022 Acura TLX A-Spec,2022,Acura Certified,10.2510 mi.,$40.79_),$190 price drop
2012 Acura RDX Base,2012,Used,83.6430 mi.,$13.92_),Not specified
2000 Acura NSX T,2000,Used,40.6840 mi.,$91.89_),$999 price drop
2022 Acura MDX Technology,2022,Used,15.9490 mi.,$52.65_),Not specified
2011 Acura MDX 3.7L Technology,2011,Used,133.2550 mi.,$11.49_),Not specified
2012 Acura TL Technology,2012,Used,135.3880 mi.,$11.50_),Not specified
2021 Acura TLX Technology,2021,Used,12.3090 mi.,$36.59_),$1.000 price drop
2007 Acura TL Type S w/Navigation,2007,Used,89.8780 mi.,$13.99_),Not specified
2022 Acura TLX A-Spec,2022,Used,14.8850 mi.,$41.90_),$700 price drop
2020 Acura TLX FWD,2020,Used,47.930 mi.,$20.95_),Not specified
2019 Acura TLX V6 w/Technology Package,2019,Used,46.3290 mi.,$29.73_),Not specified
2021 Acura TLX Tech,2021,Used,14.9140 mi.,$35.99_),Not specified
2017 Acura ILX ,2017,Used,94.590 mi.,$16.99_),$390 price drop
2012 Acura TSX Tech Pkg,2012,Used,99.0650 mi.,$13_),Not specified
2020 Acura TLX Technology,2020,Used,37.7170 mi.,$27.60_),$993 price drop
2023 Acura MDX A-Spec,2023,New,Not available,$61.65_),Not specified
2020 Acura MDX 3.5L,2020,Acura Certified,35.8540 mi.,$30_),$399 price drop
2018 Acura RDX ,2018,Used,40.6950 mi.,$26.59_),Not specified
2016 Acura MDX 3.5L w/Technology Package,2016,Used,95.5380 mi.,$21_),Not specified
2020 Acura MDX 3.5L w/Advance Package,2020,Acura Certified,59.9990 mi.,$37.99_),Not specified
2021 Acura RDX Base,2021,Used,12.0190 mi.,$36_),Not specified
2020 Acura ILX Premium Package,2020,Used,6.6990 mi.,$25.30_),$500 price drop
2023 Acura Integra w/A-Spec Package,2023,New,Not available,$34.40_),Not specified
2013 Acura TL 3.5,2013,Used,114.7560 mi.,$12.99_),Not specified
2012 Acura TL Technology,2012,Used,63.0960 mi.,$15.45_),$500 price drop
2016 Acura MDX 3.5L w/Technology Package,2016,Used,122.0960 mi.,$20_),Not specified
2018 Acura ILX Special Edition,2018,Used,30.0180 mi.,$27_),Not specified
2019 Acura MDX 3.5L w/Advance Package,2019,Used,74.190 mi.,$31.77_),$2.934 price drop
2022 Acura MDX Advance,2022,Acura Certified,5.5660 mi.,$59.50_),$487 price drop
2016 Acura MDX 3.5L w/Advance Package,2016,Used,48.5450 mi.,$24.90_),Not specified
2010 Acura TSX 2.4,2010,Used,182.0390 mi.,$8.71_),$502 price drop
2023 Acura MDX Type S w/Advance,2023,New,Not available,$74.89_),Not specified
2018 Acura MDX 3.5L w/Advance Package,2018,Used,62.6050 mi.,$29.45_),$500 price drop
2020 Acura MDX 3.5L w/Technology Package,2020,Used,44.2750 mi.,$35.60_),$900 price drop
2023 Acura TLX Advance,2023,New,Not available,$52.24_),MSRP $52.245
2010 Acura ZDX ,2010,Used,72.1710 mi.,$17.48_),$500 price drop
2017 Acura TLX w/Technology Package,2017,Used,50.5220 mi.,$20.95_),$1.000 price drop
2022 Acura RDX Technology Package,2022,New,Not available,$44.95_),Not specified
2011 Acura TL 3.5,2011,Used,94.0340 mi.,$16_),Not specified
2020 Acura MDX 3.5L,2020,Used,29.6580 mi.,$33.87_),$1.119 price drop
2020 Acura RDX Technology Package,2020,Acura Certified,42.110 mi.,$33.75_),$250 price drop
2009 Acura TSX Base (A5),2009,Used,147.6060 mi.,$8.59_),Not specified
2021 Acura TLX A-Spec,2021,Acura Certified,21.3380 mi.,$39.38_),Not specified
2023 Acura TLX Technology,2023,New,Not available,$45.24_),MSRP $45.245
2020 Acura MDX Sport Hybrid 3.0L w/Advance Package,2020,Acura Certified,59.2470 mi.,$41_),$900 price drop
2022 Acura TLX Tech,2022,Acura Certified,6.1890 mi.,$37.98_),$104 price drop
2023 Acura RDX A-Spec,2023,New,Not available,$51.20_),Not specified
2019 Acura TLX FWD,2019,Used,30.4670 mi.,$25.89_),Not specified
2022 Acura TLX A-Spec,2022,Acura Certified,1.8980 mi.,$40.99_),$1.000 price drop
2021 Acura TLX A-Spec,2021,Used,26.6080 mi.,$40.99_),Not specified
2020 Acura RDX A-Spec,2020,Used,29.6460 mi.,$37.45_),Not specified
2005 Acura TL 3.2,2005,Used,210.5640 mi.,$5_),Not specified
2019 Acura TLX FWD,2019,Used,30.9190 mi.,$25.80_),$300 price drop
2006 Acura TSX Navi,2006,Used,133.1950 mi.,$7.75_),Not specified
2021 Acura TLX Technology,2021,Used,18.1360 mi.,$36.62_),Not specified
2020 Acura RDX A-Spec,2020,Used,23.1770 mi.,$41_),Not specified
2019 Acura RDX Base,2019,Used,60.1570 mi.,$29_),$600 price drop
2023 Acura TLX w/A-Spec Package,2023,New,Not available,$50.59_),MSRP $50.595
2019 Acura TLX V6 Technology & A-Spec,2019,Used,38.7120 mi.,$34.04_),$208 price drop
2021 Acura TLX A-Spec,2021,Used,8.4120 mi.,$39.29_),$703 price drop
2022 Acura TLX A-Spec,2022,Acura Certified,8.5860 mi.,$41.89_),$1.099 price drop
2021 Acura TLX w/A-Spec Package,2021,Used,17.7530 mi.,$40.49_),Not specified
2012 Acura TSX 2.4,2012,Used,76.7020 mi.,$17_),Not specified
2008 Acura TSX Nav,2008,Used,172.8990 mi.,$7.95_),$208 price drop
2021 Acura ILX w/Premium/A-Spec Package,2021,Used,13.8680 mi.,$28.93_),$238 price drop
2020 Acura MDX 3.5L w/Advance Package,2020,Acura Certified,26.920 mi.,$44.50_),Not specified
2021 Acura TLX A-Spec,2021,Used,43.240 mi.,$36.50_),$500 price drop
2021 Acura TLX Advance,2021,Used,18.2050 mi.,$39.88_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$48.70_),Not specified
2015 Acura TLX V6 Advance,2015,Used,51.4390 mi.,$20_),$1.500 price drop
2023 Acura Integra A-Spec Technology,2023,New,Not available,$38.09_),MSRP $38.095
2023 Acura Integra A-Spec,2023,New,Not available,$35.09_),MSRP $35.095
2023 Acura MDX A-Spec,2023,New,Not available,$61.65_),MSRP $59.950
2018 Acura ILX Technology Plus Package,2018,Used,35.4330 mi.,$23.50_),Not specified
2023 Acura MDX Technology,2023,New,Not available,$58.24_),MSRP $58.245
2022 Acura MDX Base,2022,Used,22.8710 mi.,$45.75_),Not specified
2019 Acura RDX Base,2019,Used,41.5370 mi.,$29.84_),Not specified
2018 Acura TLX Technology,2018,Used,40.1620 mi.,$25_),Not specified
2020 Acura RLX FWD w/Technology Package,2020,Used,17.570 mi.,$37_),Not specified
2021 Acura TLX Advance,2021,Used,12.1540 mi.,$39.99_),$900 price drop
2019 Acura TLX FWD,2019,Used,55.4120 mi.,$21.89_),$1.090 price drop
2019 Acura MDX 3.5L w/Technology Package,2019,Used,26.1380 mi.,$35.48_),$1.000 price drop
2023 Acura Integra w/A-Spec Tech Package,2023,Acura Certified,4.9150 mi.,$35.79_),$1.200 price drop
2020 Acura RDX A-Spec,2020,Used,9.20 mi.,$39.99_),Not specified
2019 Acura TLX V6 Technology & A-Spec,2019,Acura Certified,41.6140 mi.,$31.96_),Not specified
2023 Acura MDX Technology,2023,New,Not available,$56.05_),MSRP $56.045
2019 Acura TLX V6,2019,Used,37.1630 mi.,$28.40_),$100 price drop
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),MSRP $50.895
2012 Acura TL Advance Auto,2012,Used,133.0 mi.,$13_),Not specified
2013 Acura TL Advance,2013,Used,132.1220 mi.,$14.99_),Not specified
2019 Acura MDX 3.5L w/Technology Package,2019,Used,58.2080 mi.,$29.70_),Not specified
2015 Acura TLX V6 Tech,2015,Used,86.6570 mi.,$18.22_),Not specified
2019 Acura RDX Base,2019,Used,44.2570 mi.,$29.75_),$250 price drop
2021 Acura TLX Technology,2021,Used,9.6040 mi.,$35.59_),$619 price drop
2023 Acura TLX A-Spec,2023,New,Not available,$49.99_),MSRP $51.341
2016 Acura TLX FWD,2016,Used,82.9520 mi.,$18.50_),$500 price drop
2023 Acura MDX A-Spec,2023,New,Not available,$61.74_),Not specified
2014 Acura MDX 3.5L,2014,Used,98.1260 mi.,$18_),Not specified
2023 Acura MDX Advance,2023,New,Not available,$64.69_),MSRP $64.695
2023 Acura MDX Technology,2023,New,Not available,$57.65_),Not specified
2019 Acura TLX V6 Technology & A-Spec,2019,Used,58.20 mi.,$27.90_),Not specified
2023 Acura MDX Type S w/Advance Package,2023,New,Not available,$75_),MSRP $74.995
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),MSRP $37.395
2017 Acura ILX Base,2017,Used,59.4440 mi.,$18.99_),$500 price drop
2021 Acura RDX Technology Package,2021,Used,20.9160 mi.,$39_),Not specified
2020 Acura ILX Base,2020,Acura Certified,26.860 mi.,$23.98_),$412 price drop
2016 Acura MDX 3.5L w/Technology Package,2016,Used,52.2230 mi.,$23.92_),$500 price drop
2021 Acura TLX A-Spec,2021,Used,35.1680 mi.,$35.70_),Not specified
2017 Acura MDX 3.5L w/Advance Package,2017,Used,64.4730 mi.,$30.09_),Not specified
2021 Acura TLX Advance,2021,Used,25.8030 mi.,$39.50_),Not specified
